Long,Lat,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,SiteID,Name,Company,Operating_Status,CountAsNewProject,Project_Announcement_Date,Commercial_Production_Started,Target_Year,Sector,Mfg_Activity,Mfg_Product,Announced_Post_IRA,Latitude,Longitude,City,State___Province,Country,Capital_Investment_____million_,Targeted_annual_production,Realized_annual_production,Production_units,Target_jobs,Current_jobs,Congressional_District,Current_Representative_Party,Tract,ZIP,Population,CIscore,CIscoreP,Ozone,Ozone_Pctl,PM2_5,PM2_5_Pctl,Diesel_PM,Diesel_PM_Pctl,Pesticides,Pesticides_Pctl,Tox_Releases,Tox_Releases_Pctl,Traffic,Traffic_Pctl,Drinking_Water,DrinkingWaterPctl,Lead,Lead_Pctl,Cleanups,Cleanups_Pctl,GroundwaterThreats,GW_Threats_Pctl,Haz_Waste,Haz_Waste_Pctl,Imp_Water_Bodies,ImpWaterBodPctl,Solid_Waste,Solid_Waste_Pctl,Pollution,PollutionScore,Pollution_Pctl,Asthma,Asthma_Pctl,Low_Birth_Weight,LowBirthW_Pctl,Cardiovascular,Cardiovasc_Pctl,Education,Education_Pctl,Ling_Isol,Ling_Isol_Pctl,Poverty,Poverty_Pctl,Unemployment,Unemploy_Pctl,HousBurd,HousBurd_Pctl,PopChar,PopCharScore,PopCharP,Child_10,Pop_10_64,Elderly_65,Hispanic,White,African_American,Native_American,Asian_American,Pacific_Islander,Other_Multiple,County,ApproxLoc,GEOID10,SF,CF,DF_PFS,AF_PFS,HDF_PFS,DSF_PFS,EBF_PFS,EALR_PFS,EBLR_PFS,EPLR_PFS,HBF_PFS,LLEF_PFS,LIF_PFS,LMI_PFS,PM25F_PFS,HSEF,P100_PFS,P200_I_PFS,AJDLI_ET,LPF_PFS,KP_PFS,NPL_PFS,RMP_PFS,TSDF_PFS,TPF,TF_PFS,UF_PFS,WF_PFS,UST_PFS,N_WTR,N_WKFC,N_CLT,N_ENY,N_TRN,N_HSG,N_PLN,N_HLTH,SN_C,SN_C_V10,SN_GRAND,SN_T,DLI,ALI,PLHSE,LMILHSE,ULHSE,EPL_ET,EAL_ET,EBL_ET,EB_ET,PM25_ET,DS_ET,TP_ET,LPP_ET,HRS_ET,KP_ET,HB_ET,RMP_ET,NPL_ET,TSDF_ET,WD_ET,UST_ET,DB_ET,A_ET,HD_ET,LLE_ET,UN_ET,LISO_ET,POV_ET,LMI_ET,IA_LMI_ET,IA_UN_ET,IA_POV_ET,TC,CC,IAULHSE,IAPLHSE,IALMILHSE,IALMIL_78,IAPLHS_79,IAULHS_80,LHE,IALHE,IAHSEF,N_CLT_EOMI,N_ENY_EOMI,N_TRN_EOMI,N_HSG_EOMI,N_PLN_EOMI,N_WTR_EOMI,N_HLTH_90,N_WKFC_91,FPL200S,FPL200P,N_WKFC_94,TD_ET,TD_PFS,FLD_PFS,WFR_PFS,FLD_ET,WFR_ET,ADJ_ET,IS_PFS,IS_ET,AML_ET,FUDS_RAW,FUDS_ET,IMP_FLG,DM_B,DM_AI,DM_A,DM_HI,DM_T,DM_W,DM_H,DM_O,AGE_10,AGE_MIDDLE,AGE_OLD,TA_COU_119,TA_COUNT_C,TA_PERC,TA_PERC_FE,UI_EXP,THRHLD
-115.57444763192721,33.20416641235598,1,1,1,1,13,Project ATLiS,EnergySource Minerals,Planned,1,10/14/2019 12:00:00 AM,,2025,Batteries,Extraction,Lithium,0,33.20416641,-115.57444763,Imperial County,CA,USA,660,19000.0,,tpa,70,,CA25,Democrat,6025010102.0,92233,4108,44.73977351,81.69440242,0.03603801,11.59925327,8.3479798,19.0914748,0.0259039,9.08525202,1275.857727,90.51724138,5.28277017,7.57689422,169.3573347,3.0625,324.2129806,30.61071562,49.40970672,50.80025205,14.5,74.1881299,28.0,77.93458409,2.175,93.24950364,35,99.95800084,8.0,86.50630011,47.31773319,5.77748582,63.13627878,84.77,87.62462612,4.01,26.86682063,18.64,83.15054835,32.2,82.70058213,21.8,88.83475436,65.0,94.89949749,20.4,99.32326913,17.4,51.35614702,74.65175753,7.74381364,86.28340898,19.4012,69.1091,11.4898,78.8462,12.001,6.7429,0.0,0.0974,0.925,1.3875,Imperial ,Unincorporated Imperial County area,06025010102,California,Imperial County,0.94,0.79,0.82,0.08,0.9,0.66,0.14,0.07,0.79,0.67,0.95,0.72,0.43,0.32,0.94,0.93,1,0.34,0.71,0.34,0.9,0.17,4108.0,0.0,0.98,0.9,0.6,1,1,0,1,0,0,1,1,1,1,0, ,1,0,1,0,1,0,0,0,1,0,0,0,0, ,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,8.0,5.0,0,0,0,0.0,0.0,0.0,1,0,0.0,0,1,0,0,1,1,1,1,1,0.0,1,0,0.81,0.08,0.85,0,0,1,0.84,0,0,1,1,0,0.06,0.0,0.0,0.0,0.03,0.12,0.78,0.09,0.19,0.69,0.11,0.0,0.0,0.0,0.0,Nation,21.0
-115.9523468021464,33.29506683333044,1,2,1,2,36,Statevolt Gigafactory,Statevolt,Paused,1,4/19/2022 12:00:00 AM,,2025,Batteries,Manufacturing,Battery Cell,0,33.29506683,-115.9523468,Salton Sea,CA,USA,4000,54.0,,GWh,2500,,CA25,Democrat,6025012302.0,92274,6290,22.87345474,44.15027736,0.04703366,48.52520224,8.95126031,36.22899813,0.01317688,4.87865588,355.1437857,83.86206897,1.21503437,4.63865966,498.5180068,20.7875,306.8828006,25.34032721,37.01573366,33.23251418,4.0,37.55132512,1.0,6.97326913,0.0,0.0,9,77.29945401,0.0,0.0,29.57943041,3.61164258,16.62725576,27.95,21.69740778,4.05,27.91891198,12.7,52.03140578,35.4,85.69982283,37.3,98.20002707,62.2,93.11557789,12.5,93.29776158,22.1,70.81115336,61.05372186,6.33325537,67.20877458,12.6232,70.2067,17.1701,68.0127,26.4706,3.6089,0.0,0.2703,0.3816,1.256,Imperial ,Unincorporated Imperial County area,06025012302,California,Imperial County,0.85,0.65,0.84,0.06,0.93,0.52,0.15,0.14,0.82,0.36,0.99,0.79,0.33,0.35,0.87,0.92,1,0.21,0.21,0.13,0.28,0.04,6290.0,0.28,0.92,0.0,0.09,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.0,4.0,0,0,0,0.0,0.0,0.0,1,0,0.0,0,1,1,0,1,0,0,1,1,0.0,1,1,0.96,0.03,0.33,0,0,0,0.12,0,0,1,1,0,0.03,0.0,0.0,0.0,0.01,0.26,0.68,0.34,0.12,0.7,0.17,0.0,0.0,0.03,0.03,Nation,21.0
-115.61416625953224,33.16416549699581,1,3,1,3,105,Imperial Valley,BHE Renewables,Pilot,1,2/22/2022 12:00:00 AM,,2026,Batteries,Extraction,Lithium,0,33.1641655,-115.61416626,Imperial County,CA,USA,,90000.0,,tpa,,,CA25,Democrat,6025010102.0,92233,4108,44.73977351,81.69440242,0.03603801,11.59925327,8.3479798,19.0914748,0.0259039,9.08525202,1275.857727,90.51724138,5.28277017,7.57689422,169.3573347,3.0625,324.2129806,30.61071562,49.40970672,50.80025205,14.5,74.1881299,28.0,77.93458409,2.175,93.24950364,35,99.95800084,8.0,86.50630011,47.31773319,5.77748582,63.13627878,84.77,87.62462612,4.01,26.86682063,18.64,83.15054835,32.2,82.70058213,21.8,88.83475436,65.0,94.89949749,20.4,99.32326913,17.4,51.35614702,74.65175753,7.74381364,86.28340898,19.4012,69.1091,11.4898,78.8462,12.001,6.7429,0.0,0.0974,0.925,1.3875,Imperial ,Unincorporated Imperial County area,06025010102,California,Imperial County,0.94,0.79,0.82,0.08,0.9,0.66,0.14,0.07,0.79,0.67,0.95,0.72,0.43,0.32,0.94,0.93,1,0.34,0.71,0.34,0.9,0.17,4108.0,0.0,0.98,0.9,0.6,1,1,0,1,0,0,1,1,1,1,0, ,1,0,1,0,1,0,0,0,1,0,0,0,0, ,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,8.0,5.0,0,0,0,0.0,0.0,0.0,1,0,0.0,0,1,0,0,1,1,1,1,1,0.0,1,0,0.81,0.08,0.85,0,0,1,0.84,0,0,1,1,0,0.06,0.0,0.0,0.0,0.03,0.12,0.78,0.09,0.19,0.69,0.11,0.0,0.0,0.0,0.0,Nation,21.0
-121.2987823486874,37.7996788025747,1,4,1,4,133,Tesla Megafactory,Tesla,Operating,1,9/1/2021 12:00:00 AM,11/1/2022 12:00:00 AM,2022,Batteries,Manufacturing,Storage Battery,0,37.7996788,-121.29878235,Lathrop,CA,USA,,40.0,25.0,GWh,2000,1000,CA13,Democrat,6077005119.0,95330,8947,48.0501909,85.56480081,0.0486551,57.06285003,10.72442989,53.22962041,0.15931334,53.54075918,390.0646969,84.44827586,404.4536641,47.31182796,976.8630783,56.4375,905.9371069,98.20157362,21.26943106,13.56017643,34.0,90.14557671,281.3,99.68454259,1.9,92.25678359,11,86.95926081,7.55,84.76517755,68.90347137,8.41310017,97.90914748,60.29,69.37936191,5.65,67.92404414,13.14,54.91026919,15.1,55.53024551,9.1,58.22168088,25.5,45.36432161,6.3,60.56741281,9.1,10.54499366,55.05847799,5.71135372,57.75340393,18.319,74.4607,7.2203,30.7701,16.9554,9.1651,0.0,39.1081,0.0,4.0013,San Joaquin,Lathrop,06077005119,California,San Joaquin County,0.25,0.32,0.07,0.7,0.35,0.87,0.06,0.0,0.25,0.34,0.84,0.17,0.99,0.15,0.47,0.4,0,0.15,0.71,0.89,0.97,0.66,8947.0,0.61,0.66,0.7,0.36,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,1,0,0,0, ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,0,0.0,0,1,1,0,1,0,0,0,0,0.0,1,1,0.92,0.07,0.75,0,0,0,0.92,1,0, ,0,0,0.09,0.01,0.39,0.0,0.08,0.16,0.3,0.09,0.18,0.74,0.07,0.0,0.0,0.0,0.0,Nation,21.0
-117.69860839851856,35.035556793247956,1,5,1,5,146,Boron Plant,Rio Tinto,Pilot,1,4/7/2021 12:00:00 AM,,?,Batteries,Extraction,Lithium,0,35.03555679,-117.6986084,Boron,CA,USA,50,5000.0,,tpa,,,CA23,Republican,6029005600.0,93516,2221,32.7542985,63.64094806,0.06236471,88.69943995,7.22269201,7.9029247,0.15433546,52.28375856,0.0,0.0,169.8342997,31.50787697,387.3273108,13.3625,596.2278206,68.42762583,68.31404693,76.86200378,12.0,68.94363568,2.75,17.21733355,0.0,0.0,0,0.0,8.5,87.72050401,39.84594237,4.86518165,42.42688239,66.04,75.37387836,7.5,93.87990762,15.18,67.29810568,15.5,56.47937231,1.5,11.27351468,44.8,75.84170854,7.4,70.90057262,15.3,40.2661597,64.90144806,6.73238963,72.79374685,7.9694,75.6866,16.344,24.1333,58.9374,2.9716,0.6303,5.3579,0.0,7.9694,Kern ,Boron,06029005600,California,Kern County,0.75,0.79,0.8,0.13,0.66,0.11,0.56,0.04,0.48,0.74,0.48,0.47,0.24,0.15,0.9,0.77,1,0.77,0.91,0.41,0.48,0.49,2221.0,0.38,0.74,0.0,0.22,0,1,0,0,0,1,0,0,1,1,0, ,0,0,1,0,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,2.0,0,0,0,0.0,0.0,0.0,1,0,0.0,0,0,0,1,0,0,0,1,1,0.0,1,0,0.69,0.21,0.68,0,0,0,0.04,0,0,0,0,0,0.03,0.0,0.06,0.0,0.05,0.58,0.24,0.13,0.07,0.75,0.16,0.0,0.0,0.0,0.0,Nation,21.0
-121.88365173351873,37.39192962676075,1,6,1,6,153,QuantumScape QS-0 Facility,QuantumScape,Pilot,1,2/16/2021 12:00:00 AM,,2025,Batteries,Manufacturing,Battery Cell,0,37.39192963,-121.88365173,San Jose,CA,USA,260,,,GWh,,,CA17,Democrat,6085504322.0,95131,5936,23.73185912,46.01613717,0.03975537,20.84629745,8.63597459,27.64156814,0.45026964,87.47977598,0.0,0.0,283.9960022,40.79769942,1114.213711,64.75,285.119619,19.48295242,24.45920705,17.20226843,93.7,99.1414707,51.2,90.46986552,2.195,93.32892124,3,33.15833683,1.1,36.47193585,46.68808216,5.70060556,61.39390168,26.89,19.75324028,6.41,82.28124198,10.15,31.03190429,9.8,41.23006834,21.6,88.55054811,18.2,30.03768844,2.9,15.83810515,6.8,3.89100127,40.13247222,4.16304178,35.57740797,14.7069,79.5148,5.7783,7.4292,12.3989,10.31,0.0,69.2891,0.0,0.5728,Santa Clara,San Jose,06085504322,California,Santa Clara County,0.05,0.0,0.01,0.75,0.0,0.0,0.02,0.03,0.35,0.0,0.95,0.46,0.93,0.09,0.32,0.25,0,0.12,0.21,0.76,0.94,0.98,5936.0,0.48,0.23,0.31,0.49,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,1,0,0,0, ,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,1,0,0,1,0,0,1,0,0.0,0,0,0.02,0.81,0.33,0,0,0,0.92,1,0, ,0,0,0.1,0.0,0.69,0.0,0.0,0.12,0.07,0.05,0.14,0.79,0.05,0.0,0.0,0.0,0.0,Nation,21.0
-121.92761993410176,37.469264984051634,1,7,1,7,166,Tesla Kato Road Facility,Tesla,Pilot,1,6/1/2020 12:00:00 AM,9/22/2020 12:00:00 AM,2021,Batteries,Manufacturing,Battery Cell,0,37.46926498,-121.92761993,Fremont,CA,USA,,10.0,5.0,GWh,,,CA17,Democrat,6001441503.0,94560,8013,23.05521689,44.65456379,0.03707046,13.71499689,8.54483477,23.99502178,0.59052668,92.69446173,0.00117315,5.17241379,478.3923545,50.76269067,2013.531144,87.325,238.2000055,10.22855002,11.88955861,5.14177694,173.1,99.92534528,81.35,95.38435995,9.955,99.51025811,3,33.15833683,11.45,92.98969072,52.15077538,6.36759931,75.91785937,30.19,25.4112662,5.78,70.60559405,11.29,40.41625125,4.9,20.85547963,8.1,53.86385167,6.6,3.54271357,4.7,40.60385216,6.1,2.78833967,34.90427559,3.62070786,27.30711044,18.1705,73.4681,8.3614,3.4694,8.7732,1.9718,0.8611,82.5783,0.3744,1.9718,Alameda ,Fremont,06001441503,California,Alameda County,0.03,0.0,0.0,0.64,0.01,0.99,0.26,0.12,0.03,0.2,0.82,0.07,0.94,0.04,0.07,0.05,0,0.09,0.78,0.65,0.74,0.94,8013.0,0.82,0.49,0.36,0.35,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,1,0,0,0, ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,1,1,0,0,1,0,0,0,0,0.0,0,0,0.4,0.86,0.72,0,0,0,0.27,0,0,0,0,0,0.01,0.0,0.82,0.0,0.02,0.08,0.03,0.01,0.18,0.73,0.08,0.0,0.0,0.0,0.0,Nation,21.0
-115.6030578616121,33.17750167844791,1,8,1,8,169,Hell’s Kitchen Project,Controlled Thermal Resources,Pilot,1,3/16/2020 12:00:00 AM,,2025,Batteries,Extraction,Lithium,0,33.17750168,-115.60305786,Imperial County,CA,USA,,25000.0,,tpa,1400,,CA25,Democrat,6025010102.0,92233,4108,44.73977351,81.69440242,0.03603801,11.59925327,8.3479798,19.0914748,0.0259039,9.08525202,1275.857727,90.51724138,5.28277017,7.57689422,169.3573347,3.0625,324.2129806,30.61071562,49.40970672,50.80025205,14.5,74.1881299,28.0,77.93458409,2.175,93.24950364,35,99.95800084,8.0,86.50630011,47.31773319,5.77748582,63.13627878,84.77,87.62462612,4.01,26.86682063,18.64,83.15054835,32.2,82.70058213,21.8,88.83475436,65.0,94.89949749,20.4,99.32326913,17.4,51.35614702,74.65175753,7.74381364,86.28340898,19.4012,69.1091,11.4898,78.8462,12.001,6.7429,0.0,0.0974,0.925,1.3875,Imperial ,Unincorporated Imperial County area,06025010102,California,Imperial County,0.94,0.79,0.82,0.08,0.9,0.66,0.14,0.07,0.79,0.67,0.95,0.72,0.43,0.32,0.94,0.93,1,0.34,0.71,0.34,0.9,0.17,4108.0,0.0,0.98,0.9,0.6,1,1,0,1,0,0,1,1,1,1,0, ,1,0,1,0,1,0,0,0,1,0,0,0,0, ,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,8.0,5.0,0,0,0,0.0,0.0,0.0,1,0,0.0,0,1,0,0,1,1,1,1,1,0.0,1,0,0.81,0.08,0.85,0,0,1,0.84,0,0,1,1,0,0.06,0.0,0.0,0.0,0.03,0.12,0.78,0.09,0.19,0.69,0.11,0.0,0.0,0.0,0.0,Nation,21.0
-118.18389129655412,33.99888992308301,1,9,1,9,188,Romeo Power Cypress Facility,Nikola,Closed,1,8/24/2017 12:00:00 AM,11/15/2017 12:00:00 AM,2022,Batteries,Manufacturing,Battery Pack,0,33.99888992,-118.1838913,Vernon,CA,USA,,,,GWh,,270,CA42,Democrat,6037532400.0,90058,45,,,0.04673761,47.38021157,12.18145711,87.8780336,0.45701212,87.9029247,0.0,0.0,4049.496663,89.48487122,970.8010837,56.25,418.8455033,48.30773074,,,79.05,98.71220605,32.3,81.47102773,9.73,99.36465917,7,66.73666527,9.05,88.98052692,68.7513649,8.394528,97.80958307,109.89,94.92771685,,,20.16,87.84895314,,,,,4.4,1.05527638,,,,,,,,15.5556,73.3333,11.1111,80.0,17.7778,2.2222,0.0,0.0,0.0,0.0,Los Angeles,Vernon,06037532400,California,Los Angeles County,0.21,0.02,0.18,0.88,0.03,0.0,0.06,0.99,0.88,0.0,0.85,0.0,0.97,0.1,0.0,0.04,0,0.9,0.21,0.86,1.0,0.99,45.0,0.9,0.0,0.94,0.76,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,1,0,0,0,1,0,1,0, ,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,1,0,1,0,0,0,0,0.0,1,0,0.74,0.92,0.33,1,0,0,0.99,1,0,1,1,0,0.02,0.0,0.0,0.0,0.0,0.17,0.8,0.6,0.15,0.73,0.11,0.0,0.0,0.0,0.0,Nation,21.0
-119.6444473262429,36.26940155015443,1,10,1,10,191,ieFactory,Faraday Future Intelligent Electric,Operating,1,1/3/2017 12:00:00 AM,3/29/2023 12:00:00 AM,2023,EVs,Manufacturing,EVs,0,36.26940155,-119.64444733,Hanford,CA,USA,,,,EVs,350,,CA22,Republican,6031001200.0,93230,2445,51.83091869,89.81341402,0.06133785,84.57996266,13.53482438,95.94275047,0.0512486,18.55631612,376.0559108,84.13793103,297.6698723,41.6104026,263.1094444,6.5375,657.7427793,72.28674909,61.56643976,67.97731569,19.2,81.09369168,326.75,99.83396978,0.125,21.95896757,2,23.87652247,17.5,97.31958763,60.90792658,7.43684574,92.00995644,85.28,87.82402792,4.44,37.01565307,21.45,92.22333001,24.4,72.08301696,16.7,80.84991203,44.1,74.87437186,4.9,43.0895367,15.1,39.20152091,67.18700434,6.96947611,76.21028744,13.9059,73.865,12.229,48.1391,48.7117,0.409,0.6953,0.7771,0.0409,1.227,Kings ,Unincorporated Kings County area,06031001200,California,Kings County,0.48,0.49,0.47,0.42,0.72,0.87,0.32,0.16,0.36,0.43,0.92,0.47,0.99,0.24,0.33,0.71,1,0.63,0.78,0.28,0.71,0.31,2445.0,0.06,0.51,0.79,0.07,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,3.0,0,0,0,0.0,0.0,0.0,1,0,0.0,0,1,0,1,0,0,0,1,1,0.0,1,0,0.65,0.53,0.77,0,0,0,0.96,1,0, ,0,0,0.01,0.02,0.0,0.0,0.03,0.48,0.48,0.06,0.13,0.73,0.12,0.0,0.0,0.0,0.0,Nation,21.0
