SiteID,Name,Company,Operating Status,CountAsNewProject,Project Announcement Date,Commercial Production Started,Target Year,Sector,Mfg Activity,Mfg Product,Announced Post-IRA,Latitude,Longitude,City,State / Province,Country,"Capital Investment 
($ million)",Targeted annual production,Realized annual production,Production units,Target jobs,Current jobs,Congressional District,Current Representative Party
13,Project ATLiS,EnergySource Minerals,Planned,1,10/14/19,,2025,Batteries,Extraction,Lithium,0,33.20416667,-115.5744444,Imperial County,CA,USA,660,"19,000",?,tpa,70,?,CA25,Democrat
36,Statevolt Gigafactory,Statevolt,Paused,1,4/19/22,,2025,Batteries,Manufacturing,Battery Cell,0,33.29506703,-115.9523495,Salton Sea,CA,USA,4000,54,?,GWh,"2,500",?,CA25,Democrat
105,Imperial Valley,BHE Renewables,Pilot,1,2/22/22,,2026,Batteries,Extraction,Lithium,0,33.16416667,-115.6141667,Imperial County,CA,USA,?,"90,000",?,tpa,?,?,CA25,Democrat
133,Tesla Megafactory,Tesla,Operating,1,9/1/21,11/1/22,2022,Batteries,Manufacturing,Storage Battery,0,37.79967889,-121.2987807,Lathrop,CA,USA,?,40,25,GWh,"2,000","1,000",CA13,Democrat
146,Boron Plant,Rio Tinto,Pilot,1,4/7/21,,?,Batteries,Extraction,Lithium,0,35.03555556,-117.6986111,Boron,CA,USA,50,"5,000",?,tpa,?,?,CA23,Republican
153,QuantumScape QS-0 Facility,QuantumScape,Pilot,1,2/16/21,,2025,Batteries,Manufacturing,Battery Cell,0,37.3919296,-121.8836551,San Jose,CA,USA,260,?,?,GWh,?,?,CA17,Democrat
166,Tesla Kato Road Facility,Tesla,Pilot,1,6/1/20,9/22/20,2021,Batteries,Manufacturing,Battery Cell,0,37.4692662,-121.9276199,Fremont,CA,USA,?,10,5,GWh,?,?,CA17,Democrat
169,Hell’s Kitchen Project,Controlled Thermal Resources,Pilot,1,3/16/20,,2025,Batteries,Extraction,Lithium,0,33.1775,-115.6030556,Imperial County,CA,USA,?,"25,000",?,tpa,1400,?,CA25,Democrat
188,Romeo Power Cypress Facility,Nikola,Closed,1,8/24/17,11/15/17,2022,Batteries,Manufacturing,Battery Pack,0,33.99888889,-118.1838889,Vernon,CA,USA,?,?,?,GWh,?,270,CA42,Democrat
191,ieFactory,Faraday Future Intelligent Electric,Operating,1,1/3/17,3/29/23,2023,EVs,Manufacturing,EVs,0,36.26940061,-119.6444459,Hanford,CA,USA,?,,?,EVs,350,?,CA22,Republican
195,Bristol Lake,Standard Lithium,Pilot,1,8/1/16,,,Batteries,Extraction,Lithium,0,34.472595,-115.7413473,Bristol Lake,CA,USA,,,,tpa,,,CA23,Republican
201,BYD Bus Factory,BYD,Operating,1,5/1/13,4/1/14,2014,EVs,Manufacturing,EVs,0,34.7223801,-118.1482723,Lancaster,CA,USA,50,"1,500","1,500",EVs,750,750,CA27,Democrat
205,Tesla Fremont Factory,Tesla,Operating,1,6/30/10,,2012,EVs,Manufacturing,EVs,0,37.4925,-121.9441667,Fremont,CA,USA,"5,000.00","650,000","650,000",EVs,18000,"18,000",CA17,Democrat
